Cereal_Name,food_code,hotcold,whgnt,sugnt,calcnt,fibnt, 
"Cheerios, Berry Burst Triple Berry",57106260,2,1,3,4,3,
"Cheerios, Berry Burst, Cherry Vanilla",57106260,2,1,3,4,3,
"Cheerios, Berry Burst, Strawberry Banana",57106260,2,1,3,4,3,
"Cheerios, Frosted",57213850,2,3,4,4,2,
"Cheerios, Honey Nut",57241000,2,2,3,4,3,
"Cheerios, Multi Grain",57308400,2,4,2,4,3,
"Cheerios, Team",57213850,2,3,4,4,2,
"Cheerios, Yogurt Burst, Strawberry",57419000,2,2,3,4,3,
"Cheerios, Yogurt Burst, Vanilla",57419000,2,2,3,4,3,
Cheese grits,56201060,1,1,1,3,1,
Chex,57124000,2,2,1,3,2,
Chex Morning Mix Banana Nut,57240100,2,1,3,4,1,
Chex Morning Mix Cinnamon,57240100,2,1,3,4,1,
Chex Morning Mix Fruit & Nut,57240100,2,1,3,4,1,
Chex Morning Mix Honey Nut,57240100,2,1,3,4,1,
"Chex, Bran",57111000,2,4,2,3,4,
"Chex, Corn",57132000,2,1,1,4,2,
"Chex, Honey Nut",57240100,2,1,3,4,1,
"Chex, Multi-Bran",57308300,2,4,2,3,4,
"Chex, Rice",57336000,2,1,1,4,1,
"Chex, Wheat",57411000,2,4,1,3,4,
Chocolate frosted cereal,57124200,2,2,4,3,2,
Cinnamon Cluster Raisin Bran,57330010,2,2,3,2,3,
Cinnamon Crunch Crispix,57148000,2,1,1,1,1,
Cinnamon Grahams Cereal,57124500,2,2,3,4,2,
Cinnamon Marshmallow Scooby Doo!,57305150,2,3,4,3,2,
Cinnamon Toast Crunch,57125000,2,3,3,4,2,
"Cinnamon Toast Crunch, Reduced Sugar",57125010,2,4,1,4,4,
"Coco-Roos, Malt-O-Meal",57305170,2,1,4,4,1,
Cocoa Blasts,57126500,2,4,4,1,1,
Cocoa Comets,57124200,2,2,4,3,2,
"Cocoa Dyno Bites, Malt-O-Meal",57305300,2,1,4,1,1,
Cocoa Krispies,57126000,2,1,3,1,1,
Cocoa Pebbles,57127000,2,1,4,1,1,
Cocoa Puffs,57128000,2,1,4,4,2,
"Cocoa Puffs, Reduced Sugar",57407110,2,1,3,4,2,
Cocoa Wheats,56207370,1,2,1,2,2,
Complete Bran Flakes,57208000,2,4,2,3,4,
Complete Oat Bran Flakes,57128880,2,3,2,3,4,
Complete Wheat Bran Flakes,57208000,2,4,2,3,4,
Cookie-Crisp (all flavors),57130000,2,1,4,4,2,
"Corn Bursts, Malt-O-Meal",57305180,2,1,4,1,1,
"Corn Flakes, Kellogg's",57135000,2,1,1,1,1,
Corn Pops,57347000,2,1,4,1,1,
Corn Puffs,57137000,2,3,1,4,3,
Corn flakes,57134000,2,1,1,3,1,
"Corn flakes, low sodium",57134090,2,1,1,2,1,
Cornmeal mush,56201510,1,1,1,1,1,
Count Chocula,57139000,2,1,4,4,2,
Cracklin' Oat Bran,57143000,2,2,3,3,4,
Cranberry Almond Crunch Cereal,57143500,2,2,3,2,3,
Cream of Rice,56205050,1,1,1,1,1,
Cream of Rye,56209000,1,2,1,1,1,
Cream of Wheat,56206990,1,1,1,3,1,
Crisp Crunch,57144000,2,2,4,1,1,
Crispix,57148000,2,1,1,1,1,
Crispy Brown Rice Cereal,57148500,2,4,1,2,3,
Crispy Rice,57151000,2,1,1,1,1,
"Crispy Rice, Malt-O-Meal",57305200,2,1,1,1,1,
Crispy Wheats'N Raisins,57152000,2,3,2,1,3,
Crunchy Corn Bran,57131000,2,2,2,3,4,
Disney Cereal,57201800,2,1,4,4,1,
Disney Hunny B's,57201800,2,1,4,4,1,
Disney Mickey's Magix,57201800,2,1,4,4,1,
Disney Mud & Bugs,57201800,2,1,4,4,1,
Dora the Explorer Cereal,57201900,2,2,2,4,4,
Ener-G Pure Rice Bran,57603200,2,1,1,3,4,
Familia,57206000,2,4,2,3,3,
Farina,56206990,1,1,1,3,1,
Fiber 7 Flakes,57206800,2,4,1,3,4,
Fiber One,57206700,2,1,1,4,4,
Frankenberry,57211000,2,1,4,3,1,
French Toast Crunch,57212100,2,1,4,3,1,
Froot Loops,57213000,2,1,4,3,3,
"Frosted Flakes, Kellogg's",57349000,2,1,3,1,1,
"Frosted Flakes, Malt-O-Meal",57305210,2,1,3,1,1,
Frosted Fruit Rings,57221700,2,1,4,3,3,
"Frosted Mini Spooners, Malt-O-Meal",57214100,2,4,3,1,3,
Frosted Mini Wheats,57214000,2,4,2,2,4,
Frosted Shredded Wheat,57214000,2,4,2,2,4,
Frosted Wheat Bites,57214100,2,4,3,1,3,
"Frosted cereal, with marshmallows",57305150,2,3,4,3,2,
Frosted corn flakes,57348000,2,1,3,1,1,
Frosted flakes,57348000,2,1,3,1,1,
Frosted rice,57216000,2,1,4,1,1,
Frosty O's,57215000,2,3,4,4,2,
Fruit & Fibre (fiber),57219000,2,3,2,2,3,
"Fruit & Fibre (fiber) with Dates, Raisins and Walnuts",57221000,2,3,2,2,3,
"Fruit & Fibre (fiber) with Peaches, Raisins, Almonds, and Oat Clust",57221000,2,3,2,2,3,
Fruit Harvest,57221650,2,2,3,2,2,
Fruit Harvest Apple Cinnamon,57221650,2,2,3,2,2,
Fruit Harvest Strawberry Blueberry,57221650,2,2,3,2,2,
Fruit Loops,57213000,2,1,4,3,3,
Fruit Rings,57221700,2,1,4,3,3,
Fruit Whirls,57221800,2,1,4,3,3,
Fruit and Cream Oatmeal,56203080,1,2,2,3,3,
Fruity Cheerios,57221810,2,4,3,4,3,
"Fruity Dyno Bites, Malt-O-Meal",57305300,2,1,4,1,1,
Fruity Pebbles,57223000,2,1,4,1,1,
Gerber cereal rice & mixed fruit,57824500,2,2,1,1,1,
Golden Crisp,57355000,2,3,4,1,1,
Golden Grahams,57224000,2,2,3,4,2,
"Golden Puffs, Malt-O-Meal",57306500,2,3,4,1,2,
Granola,57227000,2,3,2,3,3,
"Granola, homemade",57228000,2,2,1,3,3,
"Granola, lowfat",57229000,2,4,3,2,3,
"Granola, lowfat, Kellogg's",57229000,2,4,3,2,3,
"Granola, lowfat, with Raisins, Kellogg's",57229500,2,3,3,2,3,
Grape Nut O's,57230000,2,4,1,2,3,
Grape-Nuts,57230000,2,4,1,2,3,
Grape-Nuts Flakes,57231000,2,4,2,2,3,
Great Grains Crunchy Pecan Whole Grain Cereal,57231250,2,4,2,2,3,
"Great Grains, Raisins, Dates, and Pecans Whole Grain Cereal",57231200,2,3,2,2,3,
Grits,56201230,1,1,1,3,1,
Harina de maize con leche,56201530,1,1,1,3,1,
Harmony Vanilla Almond Oats,57148600,2,1,3,4,2,
Healthy Choice,57301512,2,2,2,3,4,
Honey Bunches of Oat Honey Roasted,57237100,2,2,2,1,2,
Honey Bunches of Oat with Strawberry,57237100,2,2,2,1,2,
Honey Bunches of Oats,57237100,2,2,2,1,2,
Honey Bunches of Oats with Almonds,57237300,2,3,2,2,2,
"Honey Bunches of Oats with Vanilla Clusters, Post",57237200,2,2,2,1,3,
"Honey Buzzers, Malt-O-Meal",57238000,2,4,3,1,1,
Honey Crisp Corn Flakes,57305210,2,1,3,1,1,
Honey Crunch Corn Flakes,57239100,2,1,3,1,2,
"Honey Graham Squares, Malt-O-Meal",57224000,2,2,3,4,2,
Honey Nut Clusters,57125900,2,3,3,2,2,
Honey Nut Heaven,57346500,2,3,3,4,2,
Honey Nut Shredded Wheat,57241200,2,4,3,2,3,
Honey Smacks,57243000,2,3,4,1,2,
Honeycomb,57238000,2,4,3,1,1,
"Honeycomb, strawberry",57239000,2,4,3,1,1,
"Instant Grits, all flavors",56201230,1,1,1,3,1,
Jenny O's,57243870,2,3,1,1,2,
Just Right,57244000,2,3,2,2,2,
Just Right with Fruit & Nut,57245000,2,2,2,2,2,
Kaboom,57301100,2,1,2,4,2,
Kasha,56200490,1,2,1,1,3,
Kashi,57000050,2,4,1,2,3,
Kashi Autumn Wheat,57301505,2,4,2,1,4,
Kashi GOLEAN,57301510,2,2,1,3,4,
Kashi GOLEAN Crunch,57301511,2,4,2,3,4,
Kashi Good Friends,57301520,2,2,2,2,4,
Kashi Good Friends Cinna-Raisin Crunch,57301520,2,2,2,2,4,
Kashi Heart to Heart Cereal,57301530,2,3,1,2,4,
Kashi Honey Puffed,57301500,2,4,1,2,3,
Kashi Medley,57301520,2,2,2,2,4,
Kashi Organic Promise,57301530,2,3,1,2,4,
Kashi Pilaf,57301530,2,3,1,2,4,
Kashi Pillows,57301530,2,3,1,2,4,
Kashi Seven in the Morning,57301520,2,2,2,2,4,
"Kashi, Puffed",57301500,2,4,1,2,3,
Kix,57303100,2,3,1,4,3,
"Kix, Berry Berry",57106250,2,2,3,3,2,
Life (plain and cinnamon),57304100,2,4,2,4,3,
Lucky Charms,57305100,2,3,4,4,2,
"Lucky Charms, Berry",57124300,2,3,4,4,2,
"Lucky Charms, Chocolate",57124300,2,3,4,4,2,
Magic Stars,57305150,2,3,4,3,2,
Malt-O-Meal,56207340,1,2,2,2,1,
"Malt-O-Meal, chocolate",56207370,1,2,1,2,2,
Maltex,56207340,1,2,2,2,1,
"Maple Pecan Crunch Cereal, Post",57307010,2,2,3,2,3,
"Marshmallow Mateys, Malt-O-Meal",57305600,2,3,4,4,2,
Marshmallow Safari,57307150,2,3,4,3,2,
Masa harina,56201600,1,1,1,2,3,
Maypo,56203110,1,2,2,2,3,
Millet,56201990,1,1,1,1,2,
"Millet, puffed",57307500,2,1,1,1,1,
"Mini-Swirlz Cinnamon Bun Cereal, Kellogg's",57307600,2,2,1,1,2,
Mini-Wheats,57417000,2,4,1,2,4,
Mini-Wheats Frosted Bite Size,57214000,2,4,2,2,4,
Mini-Wheats Frosted Original,57214000,2,4,2,2,4,
Mini-Wheats Frosted Raisin,57214000,2,4,2,2,4,
Mini-Wheats Frosted Strawberry,57214000,2,4,2,2,4,
"Mother's Natural Foods Cereal, Quaker",57100100,2,2,2,3,3,
Muesli,57308190,2,2,2,1,3,
Muesli(x),57308150,2,3,2,3,3,
Multigrain Oatmeal,56203600,1,2,1,1,3,
Multigrain cereal,56203600,1,2,1,1,3,
Natural Bran Flakes,57209000,2,3,2,3,4,
Nature Valley Granola,57309100,2,4,3,2,2,
"Nature Valley Granola, with fruit and nuts",57309100,2,4,3,2,2,
Nesquik,57124200,2,2,4,3,2,
Nestum,56210000,1,2,1,3,1,
Nu System Cuisine Toasted Grain Circles,57311700,2,4,1,4,4,
Nutri-Grain,57418000,2,4,2,3,4,
Nutri-Grain Golden Wheat and Raisin,57152000,2,3,2,1,3,
Nutty Nuggets,57316200,2,4,1,2,3,
OS,57100100,2,2,2,3,3,
"Oat Bran Cereal, Quaker",57327450,2,3,2,3,3,
"Oat Bran Flakes, Health Valley",57316300,2,4,2,2,4,
Oat bran cereal,57327450,2,3,2,3,3,
Oat bran uncooked,57602500,2,1,1,3,4,
Oat cereal,57000100,2,4,1,4,3,
Oat flakes,57316300,2,4,2,2,4,
Oatmeal,56202960,1,2,1,2,2,
Oatmeal Crisp,57316410,2,4,3,2,3,
Oatmeal Crisp with Almonds,57316450,2,3,3,2,3,
"Oatmeal Crisp, Apple Cinnamon",57316410,2,4,3,2,3,
"Oatmeal Crisp, Raisin",57316500,2,3,3,2,3,
Oatmeal Squares,57327500,2,4,2,3,3,
Oatmeal Swirlers,56203080,1,2,2,3,3,
"Oatmeal, cooked, quick (1 or 3 minutes), NS as to fat added in cook",56202970,1,2,1,2,2,
"Oats, raw",57602100,2,4,1,3,4,
Oh's,57316710,2,3,4,1,1,
"Oh's, Apple Cinnamon",57316750,2,4,4,1,1,
"Oh's, Fruitangy",57316750,2,4,4,1,1,
"Oh's, Honey Graham",57316710,2,3,4,1,1,
Old Wessex Irish Style Oatmeal,56202980,1,2,1,2,2,
"Optimum Slim, Nature's Path",57321800,2,2,2,4,4,
"Optimum, Nature's Path",57321700,2,1,3,4,4,
Oreo O's Cereal,57322500,2,2,4,1,2,
Peanut Butter Toast Crunch,57324000,2,2,4,4,2,
Polenta,56201510,1,1,1,1,1,
Product 19,57325000,2,2,2,1,2,
"Puffed Rice, Malt-O-Meal",57306100,2,1,1,1,1,
"Puffed Wheat, Malt-O-Meal",57306120,2,4,1,1,3,
Quaker Dinosaur Eggs oatmeal,56203080,1,2,2,3,3,
Quaker Fruit and Cream Oatmeal,56203080,1,2,2,3,3,
"Quaker Instant Grits, all flavors",56201230,1,1,1,3,1,
Quaker Multigrain Oatmeal,56203600,1,2,1,1,3,
Quaker Oatmeal Express,56203080,1,2,2,3,3,
Quaker Oatmeal Nutrition for Women,56202960,1,2,1,2,2,
Quaker Oatmeal Squares,57327500,2,4,2,3,3,
Quisp,57328000,2,2,4,1,1,
Raisin Bran Crunch,57330010,2,2,3,2,3,
"Raisin Bran, Kellogg's",57330000,2,3,2,3,4,
"Raisin Bran, Post",57331000,2,3,2,3,4,
Raisin Nut Bran,57332100,2,2,3,2,3,
Raisin bran,57329000,2,3,2,3,4,
Reese's Peanut Butter Puffs,57335550,2,3,4,4,2,
Rice Krispies,57339000,2,1,1,1,1,
"Rice Krispies, Frosted",57218000,2,1,4,1,1,
"Rice Krispies, Treats Cereal",57339500,2,1,3,1,1,
"Rice bran, uncooked",57603200,2,1,1,3,4,
Rice cereal,57337000,2,1,1,1,1,
"Rice cereal with apples, baby food",57805080,2,2,1,1,1,
Rice flakes,57337000,2,1,1,1,1,
Rice polishings,57603100,2,1,1,3,4,
"Rice, puffed",57340000,2,1,1,1,1,
Roman Meal,56207190,1,2,1,1,2,
Seven-grain Cereal,56203600,1,2,1,1,3,
Shredded Wheat,57417000,2,4,1,2,4,
Shredded Wheat 'N Bran,57341000,2,4,1,2,4,
Shredded Wheat Spoon Size,57417000,2,4,1,2,4,
"Shredded Wheat, 100%",57417000,2,4,1,2,4,
"Shredded Wheat, Original",57417000,2,4,1,2,4,
Smacks,57243000,2,3,4,1,2,
Smart Start,57341200,2,1,3,1,2,
Smorz,57342010,2,2,4,1,1,
Special K,57344000,2,1,1,2,1,
"Special K Cinnamon Pecan, Kellogg's",57344025,2,2,3,2,3,
Special K Fruit & Yogurt,57344015,2,2,2,2,2,
Special K Low Carb Lifestyle Protein Plus,57344000,2,1,1,2,1,
Special K Red Berries,57344010,2,1,1,2,1,
Special K Vanilla Almond,57344020,2,2,3,2,2,
Strawberry Squares,57103500,2,4,2,2,3,
"Sun Country 100% Natural Granola, with Almonds",57319500,2,4,2,3,2,
Sweet Crunch,57323000,2,2,4,1,1,
Sweet Puffs,57323050,2,3,4,1,2,
Tasteeos,57401100,2,4,1,4,4,
"Toasted Cinnamon Twists, Malt-O-Meal",57124500,2,2,3,4,2,
Toasted Oatmeal Cereal,57401100,2,4,1,4,4,
"Toasted Oatmeal, Honey Nut",57346500,2,3,3,4,2,
Toasted oat cereal,57401100,2,4,1,4,4,
Toasties,57403100,2,1,1,1,2,
"Toasty O's, Apple Cinnamon, Malt-O-Meal",57404200,2,1,4,4,2,
"Toasty O's, Honey and Nut, Malt-O-Meal",57305500,2,2,3,4,3,
"Toasty O's, Malt-O-Meal",57404100,2,1,1,4,4,
"Tootie Fruities, Malt-O-Meal",57306800,2,3,4,4,1,
Total,57406100,2,4,2,4,3,
Total Brown Sugar & Oats,57406105,2,3,3,4,3,
Total Corn Flakes,57138000,2,1,1,4,1,
Total Instant Oatmeal,56203080,1,2,2,3,3,
Total Raisin Bran,57332050,2,1,3,4,3,
Trix,57407100,2,1,4,3,2,
"Trix, Reduced Sugar",57407110,2,1,3,4,2,
Uncle Sam's Hi Fiber Cereal,57408100,2,4,1,3,4,
Under Cover Bears,56203080,1,2,2,3,3,
Waffle Crisp,57409100,2,3,3,1,1,
Weetabix Whole Wheat Cereal,57410000,2,4,1,3,4,
Wheat Hearts,56207290,1,2,1,1,2,
"Wheat bran, unprocessed (miller's bran)",57601100,2,1,1,3,4,
Wheat cereal,56207190,1,2,1,1,2,
Wheat germ,57412000,2,1,1,2,4,
"Wheat germ, with sugar and honey",57413000,2,1,1,3,4,
"Wheat, puffed",57416000,2,4,1,1,3,
"Wheat, puffed, presweetened with sugar",57416010,2,3,4,1,1,
"Wheat, rolled, cooked, NS as to fat added in cooking",56207140,1,2,1,1,2,
Wheatena,56207190,1,2,1,1,2,
Wheaties,57418000,2,4,2,3,4,
Wheaties Energy Crunch,57143500,2,2,3,2,3,
Wheaties Raisin Bran,57329000,2,3,2,3,4,
Whole wheat cereal,56207190,1,2,1,1,2,
"Whole wheat, cracked",57604100,2,4,1,2,4,
Zoom,56207190,1,2,1,1,2,
