Name,Number
Kaboom ,180
Kasha ,181
Kashi ,182
Kashi Autumn Wheat ,183
Kashi GOLEAN ,184
Kashi GOLEAN Crunch ,185
Kashi Good Friends ,186
Kashi Good Friends Cinna-Raisin Crunch ,187
Kashi Heart to Heart Cereal ,188
Kashi Honey Puffed ,189
Kashi Medley ,190
Kashi Organic Promise ,191
Kashi Pilaf ,192
Kashi Pillows ,193
Kashi Seven in the Morning ,194
"Kashi, Puffed ",195
Kix ,196
"Kix, Berry Berry ",197
Life (plain and cinnamon) ,198
Lucky Charms ,199
"Lucky Charms, Berry ",200
"Lucky Charms, Chocolate ",201
Magic Stars ,202
Malt-O-Meal ,203
"Malt-O-Meal, chocolate ",204
Maltex ,205
"Maple Pecan Crunch Cereal, Post ",206
"Marshmallow Mateys, Malt-O-Meal ",207
Marshmallow Safari ,208
Masa harina ,209
Maypo ,210
Millet ,211
"Millet, puffed ",212
"Mini-Swirlz Cinnamon Bun Cereal, Kellogg's ",213
Mini-Wheats ,214
Mini-Wheats Frosted Bite Size ,215
Mini-Wheats Frosted Original ,216
Mini-Wheats Frosted Raisin ,217
Mini-Wheats Frosted Strawberry ,218
"Mother's Natural Foods Cereal, Quaker ",219
Muesli ,220
Muesli(x) ,221
Multigrain Oatmeal ,222
Multigrain cereal ,223
Natural Bran Flakes ,224
Nature Valley Granola ,225
"Nature Valley Granola, with fruit and nuts ",226
Nesquik ,227
Nestum ,228
Nu System Cuisine Toasted Grain Circles ,229
Nutri-Grain ,230
Nutri-Grain Golden Wheat and Raisin ,231
Nutty Nuggets ,232
OS ,233
"Oat Bran Cereal, Quaker ",234
"Oat Bran Flakes, Health Valley ",235
Oat bran cereal ,236
Oat bran uncooked ,237
Oat cereal ,238
Oat flakes ,239
Oatmeal ,240
Oatmeal Crisp ,241
Oatmeal Crisp with Almonds ,242
"Oatmeal Crisp, Apple Cinnamon ",243
"Oatmeal Crisp, Raisin ",244
Oatmeal Squares ,245
Oatmeal Swirlers ,246
"Oatmeal, cooked, quick (1 or 3 minutes), NS as to fat added in cook ",247
"Oats, raw ",248
Oh's ,249
"Oh's, Apple Cinnamon ",250
"Oh's, Fruitangy ",251
"Oh's, Honey Graham ",252
Old Wessex Irish Style Oatmeal ,253
"Optimum Slim, Nature's Path ",254
"Optimum, Nature's Path ",255
Oreo O's Cereal ,256
Peanut Butter Toast Crunch ,257
Polenta ,258
Product 19 ,259
"Puffed Rice, Malt-O-Meal ",260
"Puffed Wheat, Malt-O-Meal ",261
Quaker Dinosaur Eggs oatmeal ,262
Quaker Fruit and Cream Oatmeal ,263
"Quaker Instant Grits, all flavors ",264
Quaker Multigrain Oatmeal ,265
Quaker Oatmeal Express ,266
Quaker Oatmeal Nutrition for Women ,267
Quaker Oatmeal Squares ,268
Quisp ,269
Raisin Bran Crunch ,270
"Raisin Bran, Kellogg's ",271
"Raisin Bran, Post ",272
Raisin Nut Bran ,273
Raisin bran ,274
Reese's Peanut Butter Puffs ,275
Rice Krispies ,276
"Rice Krispies, Frosted ",277
"Rice Krispies, Treats Cereal ",278
"Rice bran, uncooked ",279
Rice cereal ,280
"Rice cereal with apples, baby food ",281
Rice flakes ,282
Rice polishings ,283
"Rice, puffed ",284
Roman Meal ,285
Seven-grain Cereal ,286
Shredded Wheat ,287
Shredded Wheat 'N Bran ,288
Shredded Wheat Spoon Size ,289
"Shredded Wheat, 100% ",290
"Shredded Wheat, Original ",291
Smacks ,292
Smart Start ,293
Smorz ,294
Special K ,295
"Special K Cinnamon Pecan, Kellogg's ",296
Special K Fruit & Yogurt ,297
Special K Low Carb Lifestyle Protein Plus ,298
Special K Red Berries ,299
Special K Vanilla Almond ,300
Strawberry Squares ,301
"Sun Country 100% Natural Granola, with Almonds ",302
Sweet Crunch ,303
Sweet Puffs ,304
Tasteeos ,305
"Toasted Cinnamon Twists, Malt-O-Meal ",306
Toasted Oatmeal Cereal ,307
"Toasted Oatmeal, Honey Nut ",308
Toasted oat cereal ,309
Toasties ,310
"Toasty O's, Apple Cinnamon, Malt-O-Meal ",311
"Toasty O's, Honey and Nut, Malt-O-Meal ",312
"Toasty O's, Malt-O-Meal ",313
"Tootie Fruities, Malt-O-Meal ",314
Total ,315
Total Brown Sugar & Oats ,316
Total Corn Flakes ,317
Total Instant Oatmeal ,318
Total Raisin Bran ,319
Trix ,320
"Trix, Reduced Sugar ",321
Uncle Sam's Hi Fiber Cereal ,322
Under Cover Bears ,323
Waffle Crisp ,324
Weetabix Whole Wheat Cereal ,325
Wheat Hearts ,326
"Wheat bran, unprocessed (miller's bran) ",327
Wheat cereal ,328
Wheat germ ,329
"Wheat germ, with sugar and honey ",330
"Wheat, puffed ",331
"Wheat, puffed, presweetened with sugar ",332
"Wheat, rolled, cooked, NS as to fat added in cooking ",333
Wheatena ,334
Wheaties ,335
Wheaties Energy Crunch ,336
Wheaties Raisin Bran ,337
Whole wheat cereal ,338
"Whole wheat, cracked ",339
Zoom ,340
